key,value
"Anti-Black or African American",1771
"Anti-White",738
"Anti-Jewish",690
"Anti-Gay (Male)",689
"Anti-Hispanic or Latino",348
"Anti-Islamic (Muslim)",310
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",246
"Anti-Other Race/Ethnicity/Ancestry",226
"Anti-American Indian or Alaska Native",158
"Anti-Multiple Races, Group",141
"Anti-Lesbian (Female)",130
"Anti-Asian",113
"Anti-Transgender",106
"Anti-Other Religion",79
"Anti-Catholic",62
"Multiple Bias",60
"Anti-Mental Disability",59
"Anti-Arab",52
"Anti-Physical Disability",42
"Anti-Other Christian",37
"Anti-Multiple Religions, Group",34
"Anti-Eastern Orthodox (Russian, Greek, Other)",32
"Anti-Bisexual",23
"Anti-Female",21
"Anti-Heterosexual",20
"Anti-Gender Non-Conforming",20
"Anti-Protestant",16
"Anti-Hindu",11
"Anti-Sikh",10
"Anti-Native Hawaiian or Other Pacific Islander",9
"Anti-Mormon",7
"Anti-Male",7
"Anti-Atheism/Agnosticism",5
"Anti-Buddhist",2
"Anti-Jehovahs Witness",2
